domain_id	year	total_count
Gender	2000	500000
Gender	2001	500001
Gender	2002	500002
Gender	2003	500003
Gender	2004	500004
Drug	2000	600000
Drug	2001	600001
Drug	2002	600002
Drug	2003	600003
Drug	2004	600004
Race	2000	500000
Race	2001	500001
Race	2002	500002
Race	2003	500003
Race	2004	500004
Ethnicity	2000	500000
Ethnicity	2001	500001
Ethnicity	2002	500002
Ethnicity	2003	500003
Ethnicity	2004	500004
Procedure	2000	100000
Procedure	2001	100001
Procedure	2002	100002
Procedure	2003	100003
Procedure	2004	100004
Condition	2000	1000000
Condition	2001	1000001
Condition	2002	1000002
Condition	2003	1000003
Condition	2004	1000004
